1,"This small robot is reminiscent of a beetle with a pair of pincers extending from the front of its body."
2,"This humanoid figure appears to be a living cross between an eel and a squid. Its piscine jaw gapes below a canines flared mouth."
3,"This towering armored herbivore resembles a hornless rhinoceros, but with longer legs and a longer neck."
4,"An undead mans face flashes with horror as he stares in all directions, his body twisted and malformed in a terrible thrall."
5,"This strange being has a star-shaped head and numerous writhing appendages arranged radially around its barrel-shaped body."
6,"A small tree suddenly and ominously branches out from the canopy."
7,"This large, stocky canines dark-green fur is swept back with a fluid grace."
8,"This strange beast resembles a yellow and black wasp the size of a horse, but with the torso and head of a mysterious woman."
9,"This large, flat-headed animal has glossy black fur and a short tail."
10,"This gray-skinned womans eyes flicker with determination. She grips a spear with an edge made brittle but still sharp."
11,"This massive quadruped seems to notice its surroundings, slowing down to avoid injury."
12,"This hulk lurches forward on both feet, its oversized muscles pulling it to a sudden and furious halt. Its muscles ripple beneath its flesh, causing it to flex and flex like a second skin."
13,"This large, stocky canines dark-green fur is braided into intricate patterns that seem to shift and flow."
14,"Thick black fur covers this powerfully built creatures furless body. Its smooth, glossy skin has a camouflage shift when rubbed against a gray background."
15,"This tall, gray-skinned womans eyes flicker with determination. Her somber attire is decorated with small bones."
16,"This diminutive humanoid looks like a truly enormous hare. Its long white hair sparkles as if with reflected light."
17,"No sense of humor attaches itself to this stooped giant. Its face is bland and unassuming, its gray-green hair unkempt, and its pale skin flawless. Its teeth are dull and sharp."
18,"This wispy, ghostly humanoid shape is draped with grotesque wrapping material."
19,"The skeleton locked within rattles as this skeletal creature comes to life. Writhing chains bound before its frame hang in the air. Skeletal wings stretch no further than knobby legs."
20,"This humanoid-shaped figure of folded paper and silken ribbons hovers gently in the air. It wears the open cover of some great tome like a metal- and leather-bound mask."
21,"This giant ebon bird is barely visible in a swirl of engulfing shadow. Its head is triangular and its body is vaguely fissile."
22,"This hulking fiend has thick claws like a shelled lobster, and its humanoid torso ends in three clawed tentacles rather than a body."
23,"This long-necked, long-tailed reptile swims through life unharmed, its dark skin showing scars and only its unblinking eyes revealing a sharpness and brutality."
24,"This wolverines eyes possess the unmistakable glint of intelligence."
25,"This hulking, four-legged beast has thick, chitinous plates covering its body. Steaming acid drips from its snapping maw."
26,"There can be no doubt that this colossal, six-legged creature is male. Its enormous hump of smooth, gray-green flesh shows signs of strain."
27,"This enormous worm is covered with plates of dead-black, chitinous armor. Its toothy maw yawns like a cave."
28,"This fowl resembles a silver-haired feline with cobwebs for clothes and a foxlike head."
29,"Sunglasses worn by this hulking gray-skinned figure emit heavy-lidded fog. Its eyes also appear to be darker."
30,"This humanoid-shaped figure of folded paper and silken ribbons hovers gently in the air. It wears the open cover of some great tome like a metal- or leather-bound mask."
