1,"This sleek dragon, which appears to be composed of coils of rope, drips with liquid."
2,"This small creature is made of overlapping parts, like a three-part hydra with four arms. A serpentine neck runs the length of the whole creature, extending from the front legs forward at a rate of twenty to thirty feet per second."
3,"This strange being has a star-shaped head and numerous writhing tentacles sprouting from its body."
4,"Thick spines like the spines of a dragon bristle up from where its eyes should be, instead of its normal flat surface."
5,"This vaguely humanoid creature has a vultures head and wings for arms, and wields an enormous bow in its taloned feet."
6,"This large, winged horror is a vicious, predator."
7,"This humanoid appears to be made of darkness, and has a strange radiance that makes it difficult to see."
8,"This hideous plant has a shapely third eye and a long thin tongue shears as it twitches and flickers."
9,"This small robot has a humanoid body and a voice that seems to shift as he though he were window to window."
10,"This giant spider is the size of a large dog. Its crimson eyes glitter with malign intelligence."
11,"This creature looks like a blackened humanoid head under a dark blue tinge, with coarse, feral fur. Its eyes show a sharp, intelligent course of development. A faint bulbous aura mundi surrounds the entity, though its features seem almost to shift with every step. Its fur is delicate, the only light provided by natural light, and its ebon wings never leave its form."
12,"This tiny, iridescent serpent slithers through empty space, the air around it distorting as if from heat."
13,"This giant moth has a head like a doe skull and six short tentacles instead of legs. Its wings drizzle a cascade of shimmering dust."
14,"This humanoid appears to be made of darkness, and has no discernible ears, eyes, mouth, or tongue."
15,"This sleek predator looks like a thick, muscular canine. Its sharp beak, sharp make andasso, and delicate feathers show the form of a living person."
16,"This creature is the size of a short, stocky humanoid with large, leathery wings. Its spiky, serrated ridges drag along the ground like serpents in heavy fall. A glaring, unblinking pair of teeth crackles with invisible light."
17,"This enormous, winged abomination is a horrid mix of demonic and angelic features, as if two bodies were carelessly fused into one. Its horns are living shrapnel; every feather that flies past its innocent face undoes in destruction."
18,"This creature could almost be mistaken for a huge, slime-covered beetle."
19,"This massive humanoid figure has lightning-seeming speed and darkness. Its feet end in claws, and its mouth opens far wider than a cat.GRASSLERS flare everywhere in its hungry path."
20,"This man-sized, crab-like monstrosity clings tenaciously to the rough stone, its enormous pincers held out menacingly before it."
21,"This huge, violet-tinged dragon rises taller than a house. A long tail akin to that of a rose-shaped insect 227x226x> This huge, warthog is almost too bright to look humanlike, yet is nonetheless covered in small feathers and a simple tangle of thin legs. Its mouth consists of many thorns studded with needle-sharp teeth and its tail a pale, black, spatters. Its face is that of a large-eyed human with the mouth"
22,"This tall, feminine figure has golden tanned skin and well-formed curves, suggesting years of activity and work toward physical perfection. Beneath her diaphanous robes, the creatures legs cross over one another, while six armstwo facing toward her back wave in a continuous dance. Three fanged heads sit atop a sturdy neck, studying every direction."
